text,label
abnormal,0
not abnormal,1
able,1
not able,0
abolish,0
not abolish,1
abundance,1
not abundance,0
abominable,0
not abominable,1
accelerate,1
not accelerate,0
abominably,0
not abominably,1
accept,1
not accept,0
abominate,0
not abominate,1
acclaim,1
not acclaim,0
abomination,0
not abomination,1
accolade,1
not accolade,0
abort,0
not abort,1
accomplish,1
not accomplish,0
aborted,0
not aborted,1
accord,1
not accord,0
aborts,0
not aborts,1
accredit,1
not accredit,0
abrade,0
not abrade,1
accrue,1
not accrue,0
abrasive,0
not abrasive,1
ace,1
not ace,0
abrupt,0
not abrupt,1
achieve,1
not achieve,0
abruptly,0
not abruptly,1
action,1
not action,0
abscond,0
not abscond,1
activate,1
not activate,0
absence,0
not absence,1
active,1
not active,0
absent-minded,0
not absent-minded,1
add,1
not add,0
absentee,0
not absentee,1
addition,1
not addition,0
absurd,0
not absurd,1
adept,1
not adept,0
absurdity,0
not absurdity,1
admirable,1
not admirable,0
absurdly,0
not absurdly,1
adorable,1
not adorable,0
absurdness,0
not absurdness,1
advance,1
not advance,0
abuse,0
not abuse,1
advantage,1
not advantage,0
abused,0
not abused,1
adventure,1
not adventure,0
abuses,0
not abuses,1
affable,1
not affable,0
abusive,0
not abusive,1
affirm,1
not affirm,0
abysmal,0
not abysmal,1
ageless,1
not ageless,0
abysmally,0
not abysmally,1
agree,1
not agree,0
abyss,0
not abyss,1
agreeable,1
not agreeable,0
accidental,0
not accidental,1
aid,1
not aid,0
accost,0
not accost,1
aim,1
not aim,0
accursed,0
not accursed,1
alacrity,1
not alacrity,0
accusation,0
not accusation,1
alert,1
not alert,0
accusations,0
not accusations,1
alight,1
not alight,0
accuse,0
not accuse,1
alive,1
not alive,0
accuses,0
not accuses,1
all,1
not all,0
accusing,0
not accusing,1
altruistic,1
not altruistic,0
accusingly,0
not accusingly,1
always,1
not always,0
acerbate,0
not acerbate,1
amaze,1
not amaze,0
acerbic,0
not acerbic,1
amazement,1
not amazement,0
acerbically,0
not acerbically,1
amazing,1
not amazing,0
ache,0
not ache,1
ambition,1
not ambition,0
ached,0
not ached,1
amiable,1
not amiable,0
aches,0
not aches,1
amity,1
not amity,0
aching,0
not aching,1
amuse,1
not amuse,0
acrid,0
not acrid,1
anew,1
not anew,0
acridly,0
not acridly,1
angel,1
not angel,0
acridness,0
not acridness,1
appealing,1
not appealing,0
acrimonious,0
not acrimonious,1
applaud,1
not applaud,0
acrimoniously,0
not acrimoniously,1
appreciate,1
not appreciate,0
acrimony,0
not acrimony,1
approve,1
not approve,0
adamant,0
not adamant,1
arouse,1
not arouse,0
adamantly,0
not adamantly,1
art,1
not art,0
addict,0
not addict,1
as,1
not as,0
addicted,0
not addicted,1
ascend,1
not ascend,0
addicting,0
not addicting,1
aspire,1
not aspire,0
addicts,0
not addicts,1
assent,1
not assent,0
admonish,0
not admonish,1
assert,1
not assert,0
admonisher,0
not admonisher,1
assist,1
not assist,0
admonishingly,0
not admonishingly,1
associate,1
not associate,0
admonishment,0
not admonishment,1
assure,1
not assure,0
admonition,0
not admonition,1
astir,1
not astir,0
adulterate,0
not adulterate,1
astonish,1
not astonish,0
adulterated,0
