review_id,text,label,platform,date
R0001,ถ่ายรูปออกมาแล้วสวยจริงครับ,1,facebook,5/24/2022
R0002,ผมชอบบรรยากาศทิวทัศน์ของ เลอบัว,1,facebook,2/11/2025
R0003,อยากไปบ้างจังนะ.,1,facebook,4/19/2025
R0004,ชอบค่ะ,1,facebook,2/20/2025
R0005,ชอบมากครับเหมือนกันอ่ะครับ,1,facebook,2/19/2024
R0006,"เมื่อไหร่ได้ไปเที่ยวใช้ชีวิตคุ้มค่ากับความหรูหราแบบนี้กี่เรื่องกี่อย่างเช่นรถ,บ้าน,อาหาร,เสื้อผ้ารอถึงวันนี้กี่สิบปีแล้วฯลฯคล้ายกับเศรษฐีคนอื่นเขาบ้าง.",1,facebook,3/23/2023
R0007,จากประสบการณ์ส่วนตัว คิดว่าถ้านับเฉพาะวิวจากห้องพัก วิวด้านทิศเหนือของบันทรี กรุงเทพฯคือดีที่สุด แต่วิวที่ดีที่สุดยกให้ roof top ของตึกมหานคร กับ Vertigo and Moon Bar ของบันยันทรีเช่นกันครับ,1,facebook,9/2/2024
R0008,ว้าว,1,facebook,3/15/2023
R0009,วิวดี จะติดต่อได้ที่เบอรอะไรคะ,1,facebook,7/24/2019
R0010,สวยค่ะอันนี้โรงแรม5ดาวกรุงเทพฯเปล่าคะ,1,facebook,4/25/2023
R0011,"ชอบมากครับอยากไปบ้างเหมือนกันจังครับเอ้ห้องแบบไหนราคาเท่าไหร่บ้างนะอ๋อสภาพเหมือนบ้านพ่อแม่ครับโรงแรมเกือบทั้งหมดนี้ถ้ายังไม่หยุดจองเวรจองกรรมเช่นในข้อความลาย,หนูหิ่นฯลฯ.",1,facebook,8/31/2019
R0012,อ๋อไฟฟ้าเน็ตและชุดใหญ่ไฟกระพริบวันละ๓หมื่นครั้งเกือบ24ชั่วโมงเกือบตลอดไป.,1,facebook,7/10/2024
R0013,"ถ้าผมรวย... ไม่ขอมีบ้าน​ อยู่แต่โรงแรม
ขี้เกียจทำงานบ้าน​",1,facebook,4/14/2025
R0014,โรงแรมเพนนินซูล่าสวย,1,facebook,9/4/2021
R0015,แชงกรีลา อยู่ระนาบเดียวกันกับ โอเรียลเต็ล แต่ไม่ติด แปลก ๆ ดี,1,facebook,1/28/2025
R0016,อยากให้ทุกโรงแรม ให้พนักงาน แต่งชุดไทย ที่มีสไบ ทุกวัน อาทิตย์ หรือทุกวันได้ ยิ่งดี พนักงานชาย ชุดราชปะแตน หรือชุดชายไทยอื่นๆ,1,facebook,11/18/2022
R0017,แพงเกินสามพันสวยแค่ไหนก็ไม่พัก,1,facebook,8/14/2022
R0018,เพิ่งกลับมาเหมือนกันค่ะ รอบนี้เราพักโซนทาวสแควร์ ชอบมาก ๆ ทั้งครอบครัวเลยค่ะ วิวสวย อากาศดี ลูกไถจักรยานสนุกมาก เดือนหน้ามีแพลนจะไปอีก,1,facebook,11/7/2024
R0019,สอบถามหน่อยค่ะอันนี้จองกับทางโรงแรมหรือว่าผ่านแอพ agoda / traveloka คะ,1,facebook,2/22/2024
R0020,"เป็นโรงแรมที่ชอบมาก อากาศดี วิวสวย มาหลายครั้งก็ยังอยากไปพักอีกครับ

https://scontent.fbkk8-4.fna.fbcdn.net/v/t39.30808-6/476840924_3506088149523836_5066575992468443194_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Sd2tpzl-jVYQ7kNvwE4nXUC&_nc_oc=AdnWKDC4BAowVjW4OriKl38X8pSSyBLiYP8aYIA_PC-X5E7wJEj5dkaJdCj1BvHtCPpxA_nAElVeCun_eDwaYauG&_nc_zt=23&_nc_ht=scontent.fbkk8-4.fna&_nc_gid=3P2L-af4hH9M1pefWxSqvw&oh=00_AfGi_QaKfutGgyrjwmcE_v03ige4nFmMx4YIoboCzIIS7w&oe=681849A4",1,facebook,2/27/2024
R0021,สวยจริงค่ะ แต่ล่าสุดที่เราไปเมื่อเดือนก่อน นอนห้อง pool villa ห้องสกปรกมาก เพิ่งเชคอินก็เศษผมเต็มพื้นเลย เหมือนทำความสะอาดไม่เรียบร้อย กองผ้าที่เพิ่งเปลี่ยนก็กองอยู่ข้างหน้า แถมเจอแมลงสาปในตู้เซฟอีก 🥲,1,facebook,1/4/2023
R0022,ที่นี่ดีทุกอย่างนะครับ แต่อาหารเช้าคือ ไม่ค่อยประทับใจ (ผมทานไกล้ๆ ที่พัก ลาคาเซทต้า) ( ไม่หลากหลาย และรสชาติ เฉยๆ ) แต่อย่างอื่นคือ เต็ม10 จริงๆ บรรยากาศกลางคืน,1,facebook,7/11/2024
